pyrit 0.5.0-5
python 3.9.4-1
python-appdirs 1.4.4-3
python-attrs 20.3.0-3
python-bcrypt 3.2.0-3
python-beaker 1.11.0-6
python-cachecontrol 0.12.6-3
python-cached-property 1.5.2-3
python-cairo 1.20.0-3
python-cffi 1.14.5-1
python-chardet 4.0.0-1
python-click 7.1.2-4
python-colorama 0.4.4-3
python-configobj 5.0.6.r110.g3e2f4cc-1
python-contextlib2 0.6.0.post1-3
python-cryptography 3.4.7-1
python-dateutil 2.8.1-6
python-distlib 0.3.1-2
python-distro 1.5.0-3
python-dnspython 1:1.16.0-3
python-docker 5.0.0-1
python-docker-pycreds 0.4.0-7
python-dockerpty 0.4.1-8
python-docopt 0.6.2-9
python-dotenv 0.17.1-1
python-gobject 3.40.1-1
python-html5lib 1.1-6
python-idna 3.1-1
python-importlib-metadata 4.0.1-1
python-importlib_resources 5.1.2-1
python-jsonschema 3.2.0-4
python-mako 1.1.4-1
python-markdown 3.3.4-1
python-markupsafe 1.1.1-7
python-mistune 0.8.4-6
python-msgpack 1.0.2-2
python-ordered-set 4.0.2-3
python-packaging 20.9-1
python-paramiko 2.7.2-3
python-pendulum 2.1.2-3
python-pep517 0.10.0-1
python-pip 20.3.1-1
python-ply 3.11-7
python-progress 1.5-5
python-prompt_toolkit 3.0.18-1
python-psutil 5.8.0-1
python-pycparser 2.20-3
python-pygments 2.9.0-1
python-pynacl 1.4.0-3
python-pyopenssl 20.0.1-1
python-pyparsing 2.4.7-3
python-pyqt5 5.15.4-1
python-pyqt5-sip 12.8.1-3
python-pyrsistent 0.17.3-3
python-pytzdata 2020.1-3
python-redis 3.5.3-3
python-requests 2.25.1-1
python-resolvelib 0.5.4-1
python-retrying 1.3.3-9
python-setproctitle 1.2.2-1
python-setuptools 1:56.0.0-1
python-six 1.15.0-3
python-texttable 1.6.3-3
python-toml 0.10.2-3
python-urllib3 1.26.4-1
python-wcwidth 0.2.5-3
python-webencodings 0.5.1-6
python-websocket-client 0.58.0-1
python-yaml 5.4.1.1-2
python-zipp 3.4.1-1
python2 2.7.18-3
qca 2.3.2-2
qgpgme 1.15.1-1
qpdf 10.3.1-1
qqc2-desktop-style 5.81.0-1
qrencode 4.1.1-1
qt5-base 5.15.2+kde+r192-1
qt5-declarative 5.15.2+kde+r24-1
qt5-graphicaleffects 5.15.2-1
qt5-imageformats 5.15.2-1
qt5-location 5.15.2-3
qt5-multimedia 5.15.2-1
qt5-quickcontrols 5.15.2-1
qt5-quickcontrols2 5.15.2-1
qt5-script 5.15.2-1
qt5-sensors 5.15.2-1
qt5-speech 5.15.2-1
qt5-svg 5.15.2+kde+r7-1
qt5-tools 5.15.2+kde+r17-1
qt5-wayland 5.15.2+kde+r19-1
qt5-webchannel 5.15.2-1
qt5-webengine 5.15.3-4
qt5-x11extras 5.15.2-1
quazip 1.1-1
rate-arch-mirrors 0.2.1-1
rav1e 0.4.1-1
re2 1:20210401-1
readline 8.1.0-2
reflector 2021.4-1
rest 0.8.1-3
rhash 1.4.1-1
rsync 3.2.3-3
rtkit 0.13-1
rubberband 1.9.1-1
run-parts 4.11.2-1
runc 1.0.0rc93-2
rust 1:1.51.0-1
sane 1.0.32-3
sbc 1.5-2
screenfetch 3.9.1-1
sddm 0.19.0-5
sddm-kcm 5.21.5-1
sdl 1.2.15-14
sdl2 2.0.14-1
sdl_ttf 2.0.11-6
sed 4.8-1
shaderc 2020.5-1
shadow 4.8.1-4
shared-mime-info 2.0+57+gc1d1c70-1
signon-kwallet-extension 21.04.0-1
signon-plugin-oauth2 0.25-1
signon-ui 0.17+20171022-2
signond 8.60-3
skypeforlinux-stable-bin 8.71.0.36-1
sl 5.02-6
slang 2.3.2-2
smartmontools 7.2-1
smbclient 4.14.4-1
snappy 1.1.8-2
sndio 1.7.0-3
socat 1.7.4.1-1
solid 5.81.0-1
sonnet 5.81.0-1
sound-theme-freedesktop 0.8-4
source-highlight 3.1.9-4
spectacle 21.04.0-1
speex 1.2.0-3
speexdsp 1.2.0-2
spirv-tools 2020.7-1
sqlite 3.35.5-1
srt 1.4.3-1
sshfs 3.7.1-1
startup-notification 0.12-7
sudo 1.9.6.p1-1
svt-av1 0.8.6-2
syntax-highlighting 5.81.0-1
sysfsutils 2.1.1-1
systemd 248-5
systemd-libs 248-5
systemd-sysvcompat 248-5
systemsettings 5.21.5-1
taglib 1.12-1
talloc 2.3.2-1
tar 1.34-1
tdb 1.4.3-4
terminator 2.1.1-2
tevent 1:0.10.2-3
texinfo 6.7-3
thin-provisioning-tools 0.9.0-1
threadweaver 5.81.0-1
tmux 3.2-1
traceroute 2.1.0-5
tslib 1.22-1
ttf-bitstream-vera 1.10-14
ttf-dejavu 2.37+18+g9b5d1b2f-3
ttf-font-awesome 5.15.3-1
ttf-hack 3.003-3
ttf-liberation 2.1.4-1
ttf-ms-fonts 2.0-12
ttf-nerd-fonts-symbols-mono 2.1.0+36+gd0bf73a1-4
ttf-twemoji-color 13.0.1-1
twolame 0.4.0-2
tzdata 2021a-1
uchardet 0.0.7-1
udisks2 2.9.2-1
unibilium 2.1.0-2
unrar 1:6.0.5-1
unzip 6.0-14
up 0.4-1
upower 0.99.11-3
usbmuxd 1.1.1-1
usbutils 013-1
util-linux 2.36.2-1
util-linux-libs 2.36.2-1
uuid 1.6.2-20
v4l-utils 1.20.0-1
viber 13.3.1.22-1
vid.stab 1.1-3
vim 8.2.2815-1
vim-runtime 8.2.2815-1
